time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
4.14100000,12.64446051,22.01871598,1.83487553,7.95096244,3.29880950,-0.84339093,0.50950368,-1.06802090,-3.58540915,0.89948789,0.25357527,-0.11463845,0.33686665,4.57585031,-0.37644918,0.39522202,191,0.00000000
4.20100000,13.11859226,22.19952574,1.78798828,7.88293080,2.64335179,-0.65116854,-1.00087931,-0.00000000,-0.00000000,0.85816031,0.36125746,-0.06969813,0.35804483,3.89696978,1.09692671,0.15725240,193,0.00000000
4.26100000,13.59603289,22.32766210,1.76089702,8.07917703,1.65057620,-0.28610033,-1.20931723,0.00000000,-0.00000000,0.81721286,0.42648268,0.02210391,0.38702335,3.01458983,2.89430888,-0.11788898,196,0.00000000
4.34100000,14.26558912,22.41513585,1.74768038,8.69665293,0.62867244,-0.09253484,-1.42259909,-0.00000000,0.00000000,0.77982207,0.42378001,0.16205170,0.43130881,0.24283381,3.48775987,-0.46316017,199,0.00000000
4.40100000,14.80407533,22.43769926,1.74337255,9.24166034,0.17208828,-0.05666809,-1.56695970,0.00000000,-0.00000000,0.77921887,0.35758663,0.22934639,0.46081448,-1.97856318,2.68310002,-0.66791033,201,0.00000000
4.46200000,15.38351415,22.43970837,1.74106386,9.72850107,-0.07032100,-0.01445871,-1.78596287,0.00000000,0.00000000,0.80208172,0.25404299,0.24228601,0.48314031,-3.62582055,1.32468717,-0.80526121,204,0.00000000
4.54200000,16.18006936,22.42925314,1.74403711,10.12674976,-0.15604443,0.09736951,-2.08085369,0.00000000,-0.00000000,0.84476883,0.10197808,0.17781683,0.49431495,-4.51370126,-0.52805553,-0.90248175,208,0.00000000
4.60200000,16.79091315,22.42070948,1.75295876,10.20124074,-0.11991975,0.19518467,-2.30273836,0.00000000,-0.00000000,0.86877119,0.00083991,0.08995567,0.48697421,-4.12519545,-1.42574432,-0.94912859,211,0.00000000
4.66200000,17.40064707,22.41561474,1.76674597,10.09953399,-0.04807795,0.25386695,-2.52397980,0.00000000,0.00000000,0.88061711,-0.07304737,-0.00484672,0.46813897,-3.07326189,-1.72011667,-0.99378997,214,0.00000000
4.74200000,18.19675716,22.41593366,1.78718872,9.78231669,0.05261164,0.24076606,-2.74343783,0.00000000,0.00000000,0.88697069,-0.11903420,-0.10460011,0.43378875,-1.25104656,-1.32958109,-1.05113774,217,0.00000000
